# Gene_A	Gene_B	Weight
ENSG00000048052	ENSG00000060237	5.3E-2
ENSG00000048052	ENSG00000081189	2.7E-1
ENSG00000048052	ENSG00000108953	7.2E-2
ENSG00000055609	ENSG00000112062	1E-1
ENSG00000067798	ENSG00000134982	1.2E-1
ENSG00000127603	ENSG00000134982	2.5E-2
ENSG00000131018	ENSG00000134982	6.4E-2
ENSG00000048052	ENSG00000164924	7.3E-2
ENSG00000055609	ENSG00000177606	3.3E-1
ENSG00000127603	ENSG00000177606	1.9E-1
ENSG00000170579	ENSG00000177885	1.5E-1
ENSG00000151914	ENSG00000180370	3.7E-1
ENSG00000109339	ENSG00000198707	6.3E-1
