# Gene_A	Gene_B	Weight
ENSG00000091831	ENSG00000092199	6.2E-2
ENSG00000091831	ENSG00000092621	6.2E-2
ENSG00000091831	ENSG00000092820	6.2E-2
ENSG00000091831	ENSG00000096384	6.2E-2
ENSG00000091831	ENSG00000096696	6.2E-2
ENSG00000091831	ENSG00000100220	6.2E-2
ENSG00000091831	ENSG00000100297	6.2E-2
ENSG00000091831	ENSG00000100412	6.2E-2
ENSG00000091831	ENSG00000100519	6.2E-2
ENSG00000091831	ENSG00000100612	6.2E-2
ENSG00000091831	ENSG00000100714	6.2E-2
ENSG00000091831	ENSG00000100764	6.2E-2
ENSG00000091831	ENSG00000100823	6.2E-2
ENSG00000091831	ENSG00000100889	6.2E-2
ENSG00000091831	ENSG00000100934	6.2E-2
ENSG00000091831	ENSG00000100994	6.2E-2
ENSG00000091831	ENSG00000101162	6.2E-2
ENSG00000091831	ENSG00000101182	6.2E-2
ENSG00000091831	ENSG00000101210	6.2E-2
ENSG00000091831	ENSG00000101294	6.2E-2
ENSG00000091831	ENSG00000101558	6.2E-2
ENSG00000091831	ENSG00000269666	6.2E-2
ENSG00000091831	ENSG00000104450	6.2E-2
ENSG00000091831	ENSG00000104824	6.2E-2
ENSG00000091831	ENSG00000104980	6.2E-2
ENSG00000091831	ENSG00000105281	6.2E-2
ENSG00000091831	ENSG00000272852	6.2E-2
ENSG00000091831	ENSG00000105576	6.2E-2
ENSG00000091831	ENSG00000105968	6.2E-2
ENSG00000091831	ENSG00000106105	6.2E-2
ENSG00000091831	ENSG00000106211	6.2E-2
ENSG00000091831	ENSG00000106263	6.2E-2
ENSG00000091831	ENSG00000108395	6.2E-2
ENSG00000091831	ENSG00000108424	6.2E-2
ENSG00000091831	ENSG00000108518	6.2E-2
ENSG00000091831	ENSG00000108829	6.2E-2
ENSG00000091831	ENSG00000108953	6.2E-2
ENSG00000091831	ENSG00000109062	6.2E-2
ENSG00000091831	ENSG00000109107	6.2E-2
ENSG00000091831	ENSG00000109452	6.2E-2
ENSG00000091831	ENSG00000109814	6.2E-2
ENSG00000091831	ENSG00000109919	6.2E-2
ENSG00000091831	ENSG00000111057	6.2E-2
ENSG00000091831	ENSG00000111530	6.2E-2
ENSG00000091831	ENSG00000113013	6.2E-2
ENSG00000091831	ENSG00000113194	6.2E-2
ENSG00000091831	ENSG00000113368	6.2E-2
ENSG00000091831	ENSG00000113648	6.2E-2
ENSG00000091831	ENSG00000114023	6.2E-2
ENSG00000091831	ENSG00000114302	6.2E-2
ENSG00000091831	ENSG00000114737	6.2E-2
