# Gene_A	Gene_B	Weight
ENSG00000005108	ENSG00000136603	1.4E-1
ENSG00000127603	ENSG00000136603	7.8E-2
ENSG00000116183	ENSG00000141646	8.3E-2
ENSG00000151150	ENSG00000166949	1.1E-1
ENSG00000069020	ENSG00000170365	1.6E-1
ENSG00000134532	ENSG00000170365	6.1E-2
ENSG00000138411	ENSG00000170365	1.6E-1
ENSG00000116183	ENSG00000171681	6.3E-2
ENSG00000127603	ENSG00000171681	8.9E-2
ENSG00000141510	ENSG00000172531	1.8E-1
ENSG00000138829	ENSG00000175387	5.6E-2
ENSG00000151150	ENSG00000175387	7.5E-2
ENSG00000146555	ENSG00000196504	1.6E-1
ENSG00000116183	ENSG00000196700	6E-2
