# Gene_A	Gene_B	Weight
ENSG00000127603	ENSG00000132507	3.3E-1
ENSG00000127603	ENSG00000143870	2.6E-1
ENSG00000155657	ENSG00000161547	1.8E-1
ENSG00000162599	ENSG00000162664	4.3E-2
ENSG00000153956	ENSG00000163527	2.2E-1
ENSG00000153956	ENSG00000164258	1.6E-1
ENSG00000162599	ENSG00000164548	3.8E-2
ENSG00000165323	ENSG00000165704	8.3E-1
ENSG00000162599	ENSG00000165732	2.4E-2
ENSG00000145216	ENSG00000165934	1.3E-1
ENSG00000156395	ENSG00000168066	1.8E-1
ENSG00000169851	ENSG00000175130	1.6E-1
ENSG00000162599	ENSG00000179041	2.6E-2
ENSG00000131558	ENSG00000180104	2E-1
ENSG00000131558	ENSG00000182473	2.6E-1
ENSG00000169851	ENSG00000182810	1.4E-1
ENSG00000156395	ENSG00000184863	4.8E-1
ENSG00000169855	ENSG00000188130	1E0
ENSG00000162599	ENSG00000215699	3E-2
ENSG00000162599	ENSG00000189306	4.7E-2
ENSG00000162599	ENSG00000197756	1.8E-2
ENSG00000146143	ENSG00000198056	3.1E-1
ENSG00000138411	ENSG00000198931	4.8E-1
ENSG00000162599	ENSG00000273201	8.4E-2
ENSG00000168038	ENSG00000213648	5.4E-1
ENSG00000168038	ENSG00000244687	1.8E-1
