# Gene_A	Gene_B	Weight
ENSG00000075213	ENSG00000099250	5.7E-1
ENSG00000091831	ENSG00000100393	5.5E-2
ENSG00000085276	ENSG00000100811	3.5E-1
ENSG00000018236	ENSG00000106278	1E0
ENSG00000091831	ENSG00000114062	6.7E-2
ENSG00000091831	ENSG00000116809	8.4E-2
ENSG00000091831	ENSG00000118495	1.1E-1
ENSG00000091831	ENSG00000122779	4.3E-2
ENSG00000122507	ENSG00000125124	1.7E-1
ENSG00000085276	ENSG00000125740	5.2E-1
ENSG00000078295	ENSG00000127914	7.7E-1
ENSG00000114861	ENSG00000128573	7.1E-1
ENSG00000109339	ENSG00000130522	5.4E-1
ENSG00000091831	ENSG00000263461	1.1E-1
ENSG00000055609	ENSG00000134371	1.6E-1
ENSG00000107611	ENSG00000134812	1E0
ENSG00000128573	ENSG00000137166	7.1E-1
ENSG00000044524	ENSG00000137845	7.5E-1
ENSG00000122507	ENSG00000138686	7.8E-2
ENSG00000091831	ENSG00000140396	5.8E-2
ENSG00000122507	ENSG00000140463	1.9E-1
ENSG00000113448	ENSG00000141480	4.9E-1
ENSG00000141510	ENSG00000143499	2.2E-1
ENSG00000141510	ENSG00000143514	3.5E-2
ENSG00000141510	ENSG00000143799	2.7E-2
ENSG00000135298	ENSG00000144119	7.1E-1
ENSG00000114279	ENSG00000144285	8.5E-1
ENSG00000141510	ENSG00000145391	2.8E-2
ENSG00000141510	ENSG00000147889	1.9E-2
ENSG00000141510	ENSG00000151090	8.3E-2
ENSG00000091831	ENSG00000152944	2E-1
ENSG00000134516	ENSG00000155849	8E-1
ENSG00000131558	ENSG00000155974	6.6E-1
ENSG00000152910	ENSG00000156299	5.7E-1
ENSG00000091831	ENSG00000156802	1.2E-1
ENSG00000151067	ENSG00000157782	4.5E-1
ENSG00000141510	ENSG00000158941	1.1E-1
ENSG00000159216	ENSG00000162367	1.1E-1
ENSG00000156299	ENSG00000162512	1.9E-1
ENSG00000120594	ENSG00000162736	2.8E-1
ENSG00000122507	ENSG00000163093	1.4E-1
ENSG00000148498	ENSG00000163558	3.1E-1
ENSG00000141510	ENSG00000163565	2.2E-1
ENSG00000141510	ENSG00000163743	8.5E-2
ENSG00000091831	ENSG00000164104	1.2E-1
ENSG00000140538	ENSG00000164305	1.9E-1
ENSG00000091831	ENSG00000164867	1.1E-1
ENSG00000141837	ENSG00000164949	6.2E-1
ENSG00000135298	ENSG00000165985	7.1E-1
ENSG00000151067	ENSG00000165995	4.5E-1
ENSG00000141510	ENSG00000166164	1.1E-1
ENSG00000141510	ENSG00000166167	6E-2
ENSG00000155511	ENSG00000166862	8.7E-1
ENSG00000150760	ENSG00000167193	5.7E-1
ENSG00000151067	ENSG00000167535	2.3E-1
ENSG00000141510	ENSG00000168411	9.2E-2
ENSG00000166501	ENSG00000169083	4.1E-2
ENSG00000156299	ENSG00000169439	1.9E-1
ENSG00000145147	ENSG00000169855	7.1E-1
ENSG00000141510	ENSG00000170312	1.7E-2
ENSG00000085276	ENSG00000170345	2E-1
ENSG00000153707	ENSG00000170873	8.8E-1
ENSG00000085276	ENSG00000171223	1.8E-1
ENSG00000141510	ENSG00000171848	5.9E-2
ENSG00000127928	ENSG00000172354	1.4E-1
ENSG00000155511	ENSG00000172531	1.5E-1
ENSG00000091831	ENSG00000172977	1.4E-1
ENSG00000155657	ENSG00000173991	6.2E-1
ENSG00000122507	ENSG00000174483	1.6E-1
ENSG00000133424	ENSG00000174684	7.1E-1
ENSG00000091831	ENSG00000175221	1.4E-1
ENSG00000069667	ENSG00000175792	4.8E-1
ENSG00000085276	ENSG00000177606	6.5E-2
ENSG00000109339	ENSG00000177606	1.9E-1
ENSG00000157168	ENSG00000178568	3.9E-1
ENSG00000169760	ENSG00000179915	1E0
ENSG00000122507	ENSG00000179941	2.4E-1
ENSG00000122507	ENSG00000181004	7.9E-2
ENSG00000141510	ENSG00000181019	2.2E-1
ENSG00000145362	ENSG00000183023	6.4E-1
ENSG00000114279	ENSG00000183873	1.9E-1
ENSG00000129682	ENSG00000183873	4.4E-1
ENSG00000151150	ENSG00000183873	1.5E-1
ENSG00000044524	ENSG00000184349	3.4E-1
ENSG00000091831	ENSG00000184634	9.7E-2
ENSG00000156113	ENSG00000184709	5.8E-1
ENSG00000141510	ENSG00000185591	8.9E-2
ENSG00000140538	ENSG00000185652	5.3E-1
ENSG00000145362	ENSG00000187486	3.6E-1
ENSG00000141510	ENSG00000187555	4.3E-2
ENSG00000141510	ENSG00000188612	2.8E-2
ENSG00000091831	ENSG00000189403	1E-1
ENSG00000141510	ENSG00000189403	5.7E-2
ENSG00000152818	ENSG00000196262	8E-1
ENSG00000091831	ENSG00000197122	3.6E-2
ENSG00000166501	ENSG00000198366	7.3E-2
ENSG00000141510	ENSG00000198625	7.5E-2
ENSG00000055609	ENSG00000198646	2.4E-1
ENSG00000044524	ENSG00000198668	7E-2
ENSG00000141837	ENSG00000198668	1.1E-1
ENSG00000151067	ENSG00000198668	3.6E-2
ENSG00000168959	ENSG00000198668	2.6E-1
ENSG00000141510	ENSG00000221983	2.7E-3
ENSG00000178568	ENSG00000221983	1.5E-2
ENSG00000185345	ENSG00000221983	3.3E-2
ENSG00000148498	ENSG00000262505	6.1E-1
