# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000150991	1.4E-2
ENSG00000047617	ENSG00000150991	1.4E-2
ENSG00000066032	ENSG00000150991	1.4E-2
ENSG00000067715	ENSG00000150991	1.4E-2
ENSG00000101333	ENSG00000150991	1.4E-2
ENSG00000104375	ENSG00000150991	1.4E-2
ENSG00000105877	ENSG00000150991	1.4E-2
ENSG00000112232	ENSG00000150991	1.4E-2
ENSG00000112699	ENSG00000150991	1.4E-2
ENSG00000113396	ENSG00000150991	1.4E-2
ENSG00000132256	ENSG00000150991	1.4E-2
ENSG00000132549	ENSG00000150991	1.4E-2
ENSG00000134516	ENSG00000150991	1.4E-2
ENSG00000139220	ENSG00000150991	1.4E-2
ENSG00000141376	ENSG00000150991	1.4E-2
ENSG00000141510	ENSG00000150991	1.4E-2
ENSG00000141837	ENSG00000150991	1.4E-2
ENSG00000142611	ENSG00000150991	1.4E-2
ENSG00000144036	ENSG00000150991	1.4E-2
ENSG00000144290	ENSG00000150991	1.4E-2
ENSG00000144724	ENSG00000150991	1.4E-2
ENSG00000145191	ENSG00000150991	1.4E-2
ENSG00000145216	ENSG00000150991	1.4E-2
ENSG00000145526	ENSG00000150991	1.4E-2
ENSG00000145996	ENSG00000150991	1.4E-2
ENSG00000146143	ENSG00000150991	1.4E-2
ENSG00000148513	ENSG00000150991	1.4E-2
