# Gene_A	Gene_B	Weight
ENSG00000146592	ENSG00000153879	2.7E-2
ENSG00000146592	ENSG00000156127	3.5E-2
ENSG00000146592	ENSG00000156273	6E-2
ENSG00000146592	ENSG00000162772	6.1E-2
ENSG00000146592	ENSG00000170345	5.8E-2
ENSG00000146592	ENSG00000170653	3.3E-2
ENSG00000146592	ENSG00000171223	4.9E-2
ENSG00000146592	ENSG00000172216	5.2E-2
ENSG00000146592	ENSG00000175197	3E-2
ENSG00000146592	ENSG00000175592	5.8E-2
ENSG00000146592	ENSG00000177606	3.6E-2
ENSG00000146592	ENSG00000197063	4.2E-2
ENSG00000146592	ENSG00000198517	3.6E-2
ENSG00000146592	ENSG00000245848	5.3E-2
