# Gene_A	Gene_B	Weight
ENSG00000069667	ENSG00000087191	6.7E-1
ENSG00000120549	ENSG00000120896	9.6E-2
ENSG00000120549	ENSG00000129245	3.5E-2
ENSG00000112232	ENSG00000131773	2E-1
ENSG00000132938	ENSG00000142686	2.7E-1
ENSG00000132938	ENSG00000142731	2.9E-1
ENSG00000112232	ENSG00000147274	2E-1
ENSG00000145216	ENSG00000160917	1E0
ENSG00000131374	ENSG00000161203	2.6E-1
ENSG00000112232	ENSG00000165119	1.3E-1
ENSG00000166833	ENSG00000168395	4.3E-1
ENSG00000120549	ENSG00000171346	3.2E-2
ENSG00000141510	ENSG00000176774	4.5E-1
ENSG00000120549	ENSG00000179562	1.6E-1
ENSG00000112232	ENSG00000182944	2.8E-2
ENSG00000184672	ENSG00000187778	8.4E-2
ENSG00000132938	ENSG00000197343	1.9E-1
