# Gene_A	Gene_B	Weight
ENSG00000018236	ENSG00000069956	9.1E-2
ENSG00000055609	ENSG00000102804	2.7E-1
ENSG00000104375	ENSG00000269326	1.9E-1
ENSG00000104375	ENSG00000162645	1.8E-1
ENSG00000104375	ENSG00000164902	9E-2
ENSG00000157985	ENSG00000167900	4.1E-2
ENSG00000141510	ENSG00000171552	8.3E-2
ENSG00000104375	ENSG00000172053	1.1E-1
ENSG00000141510	ENSG00000172062	3.1E-2
ENSG00000157985	ENSG00000172062	6.8E-2
ENSG00000141510	ENSG00000180198	7E-2
ENSG00000185008	ENSG00000198553	3E-1
ENSG00000152894	ENSG00000232960	1.3E-1
ENSG00000185008	ENSG00000204977	3E-1
ENSG00000104375	ENSG00000233076	9.7E-2
ENSG00000185008	ENSG00000237710	2.5E-1
ENSG00000150625	ENSG00000217930	5.6E-1
