# Gene_A	Gene_B	Weight
ENSG00000079841	ENSG00000084733	4.7E-1
ENSG00000079841	ENSG00000091428	1.6E-1
ENSG00000080224	ENSG00000099617	3.8E-1
ENSG00000079841	ENSG00000105514	1.6E-1
ENSG00000079841	ENSG00000105649	1.6E-1
ENSG00000109339	ENSG00000121653	6.4E-1
ENSG00000080224	ENSG00000130396	4.3E-1
ENSG00000109339	ENSG00000138834	2.4E-1
ENSG00000013297	ENSG00000140391	4.4E-1
ENSG00000091831	ENSG00000140396	1.4E-1
ENSG00000013297	ENSG00000150093	1.6E-1
ENSG00000091831	ENSG00000151615	6.5E-1
ENSG00000091831	ENSG00000152192	6.5E-1
ENSG00000079841	ENSG00000152932	1.6E-1
ENSG00000138759	ENSG00000155974	5.2E-1
ENSG00000148498	ENSG00000156299	5.8E-1
ENSG00000152214	ENSG00000160271	5.4E-1
ENSG00000137672	ENSG00000161270	3.6E-1
ENSG00000152208	ENSG00000268430	6.1E-1
ENSG00000141510	ENSG00000162409	3.4E-1
ENSG00000148498	ENSG00000163558	1.5E-1
ENSG00000141510	ENSG00000164938	1.4E-1
ENSG00000148498	ENSG00000166949	1E-1
ENSG00000079841	ENSG00000169213	1.6E-1
ENSG00000141510	ENSG00000169375	3.4E-1
ENSG00000169862	ENSG00000170558	4.9E-1
ENSG00000141510	ENSG00000171552	8.3E-2
ENSG00000079841	ENSG00000172794	4.7E-1
ENSG00000170624	ENSG00000173402	4E-1
ENSG00000155974	ENSG00000173546	5.2E-1
ENSG00000148848	ENSG00000176105	6.9E-1
ENSG00000148848	ENSG00000177885	8.4E-2
ENSG00000148848	ENSG00000197122	8.7E-2
ENSG00000187323	ENSG00000197122	1E-1
ENSG00000141510	ENSG00000197579	1.8E-1
ENSG00000138829	ENSG00000197614	3.7E-1
ENSG00000170624	ENSG00000198947	1.9E-1
ENSG00000166501	ENSG00000204217	1.1E-1
ENSG00000172915	ENSG00000204217	2.2E-1
ENSG00000013297	ENSG00000214063	6.9E-1
