# Gene_A	Gene_B	Weight
ENSG00000067715	ENSG00000079841	7.6E-2
ENSG00000067715	ENSG00000099365	8.3E-2
ENSG00000067715	ENSG00000103496	1.4E-1
ENSG00000067715	ENSG00000263024	3.9E-2
ENSG00000079841	ENSG00000128245	4.7E-1
ENSG00000021645	ENSG00000130396	1.9E-1
ENSG00000067715	ENSG00000132639	5.3E-2
ENSG00000079841	ENSG00000132639	5.8E-2
ENSG00000079841	ENSG00000139220	2.7E-1
ENSG00000141837	ENSG00000146425	5.4E-1
ENSG00000021645	ENSG00000147044	1.3E-1
ENSG00000067715	ENSG00000151067	1.3E-1
ENSG00000079841	ENSG00000151067	1.4E-1
ENSG00000113448	ENSG00000151320	7.1E-1
ENSG00000144619	ENSG00000152661	3.1E-1
ENSG00000152578	ENSG00000155511	5.4E-1
ENSG00000067715	ENSG00000265307	4.7E-1
ENSG00000155974	ENSG00000161681	5.6E-2
ENSG00000152822	ENSG00000161835	1.2E-1
ENSG00000107611	ENSG00000163631	7.1E-1
ENSG00000102935	ENSG00000164330	1E0
ENSG00000141837	ENSG00000165995	3.2E-1
ENSG00000151067	ENSG00000165995	4.1E-1
ENSG00000067715	ENSG00000166900	1.2E-1
ENSG00000079841	ENSG00000166913	4.7E-1
ENSG00000155974	ENSG00000168036	5.8E-2
ENSG00000155974	ENSG00000168824	3.6E-1
ENSG00000154928	ENSG00000169439	7.2E-1
ENSG00000155974	ENSG00000169439	9.8E-2
ENSG00000021645	ENSG00000169760	1.1E-1
ENSG00000150672	ENSG00000169760	1.7E-1
ENSG00000021645	ENSG00000169992	1.1E-1
ENSG00000150672	ENSG00000169992	1.7E-1
ENSG00000155974	ENSG00000170558	1.9E-1
ENSG00000141837	ENSG00000172037	5.4E-1
ENSG00000078295	ENSG00000173175	1E0
ENSG00000139220	ENSG00000176406	3.2E-1
ENSG00000169282	ENSG00000177301	3.1E-1
ENSG00000079841	ENSG00000177380	2.7E-1
ENSG00000176406	ENSG00000177380	3.2E-1
ENSG00000067715	ENSG00000179915	8.3E-2
ENSG00000169760	ENSG00000179915	7.4E-2
ENSG00000169282	ENSG00000182255	3.7E-1
ENSG00000152822	ENSG00000186298	2E-1
ENSG00000168959	ENSG00000186298	2.7E-1
ENSG00000169760	ENSG00000187391	7.5E-2
ENSG00000170579	ENSG00000187391	1.1E-1
ENSG00000141510	ENSG00000189403	7.1E-1
ENSG00000155974	ENSG00000196277	1.6E-1
ENSG00000021645	ENSG00000196338	3.3E-1
ENSG00000179915	ENSG00000196338	2.2E-1
ENSG00000169760	ENSG00000197555	9.3E-2
ENSG00000187391	ENSG00000198010	1.7E-1
ENSG00000155974	ENSG00000198822	1.2E-1
