#Mambo_id	Uniprot	ENSEMBL
0	Q8TBF5	ENSP00000376192
1	Q8TBF4	ENSP00000266529
2	Q5MIZ7	ENSP00000483228
3	Q9NVL8	ENSP00000216445
4	Q8TBF2	ENSP00000443605
5	P23409	ENSP00000228641
6	Q9BZL4	ENSP00000387833
7	Q8TBF8	ENSP00000288228
8	Q5QJ38	ENSP00000357796
9	Q5H9L2	ENSP00000361765
10	P20930	ENSP00000357789
11	Q6PIY5	ENSP00000440524
12	P20933	ENSP00000264595
13	P20936	ENSP00000422008
14	Q9NZV5	ENSP00000363434
15	O75325	ENSP00000356145
16	Q8NFX7	ENSP00000447655
17	Q9UM21	ENSP00000377127
18	Q496A3	ENSP00000437552
19	Q8IZF2	ENSP00000283296
20	P83859	ENSP00000345487
21	P40617	ENSP00000379898
22	P30613	ENSP00000459921
23	Q15573	ENSP00000339976
24	Q15572	ENSP00000437900
25	Q9H999	ENSP00000239231
26	P23919	ENSP00000304802
27	Q8NHX4	ENSP00000388741
28	Q8NHX9	ENSP00000294309
29	A8MU46	ENSP00000382108
30	Q6UX39	ENSP00000422452
31	Q6ZNW5	ENSP00000368405
32	Q9NXR8	ENSP00000410406
33	Q9C0H2	ENSP00000385015
34	P40616	ENSP00000448850
35	Q4VXU2	ENSP00000445661
36	Q68DE3	ENSP00000320794
37	Q00535	ENSP00000297518
38	Q00534	ENSP00000397087
39	Q00537	ENSP00000444459
40	Q00536	ENSP00000276052
41	Q9NXR5	ENSP00000312534
42	Q9NXR7	ENSP00000354699
43	Q6UXI7	ENSP00000374625
44	O00712	ENSP00000442888
45	Q9UBM8	ENSP00000447253
46	Q96J65	ENSP00000433333
47	O00241	ENSP00000371016
48	O00716	ENSP00000443418
49	Q8IX01	ENSP00000472286
50	Q3LI54	ENSP00000372272
51	Q9H8L6	ENSP00000361097
52	Q9UBM1	ENSP00000379127
53	A8MTA8	ENSP00000412746
54	Q6BEB4	ENSP00000364430
55	P24522	ENSP00000360024
56	Q13835	ENSP00000263946
57	Q7Z3T1	ENSP00000353516
58	A0AVF1	ENSP00000410655
59	P40424	ENSP00000356872
60	P40425	ENSP00000391745
61	P09001	ENSP00000264995
62	P40429	ENSP00000375730
63	Q71RG4	ENSP00000350672
64	Q7Z3T8	ENSP00000426848
65	Q13838	ENSP00000394160
66	P12314	ENSP00000358165
67	Q8TDW7	ENSP00000387040
68	Q5M775	ENSP00000378896
69	A6H8Z2	ENSP00000415299
70	Q9H2I8	ENSP00000361577
71	P08842	ENSP00000217961
72	P03891	ENSP00000355046
73	Q5VUR7	ENSP00000482325
74	P48960	ENSP00000242786
75	P03897	ENSP00000355206
76	P02768	ENSP00000483421
77	P05386	ENSP00000350437
78	Q5TAX3	ENSP00000360599
79	P07902	ENSP00000401956
80	P21815	ENSP00000226284
81	P02760	ENSP00000265132
82	P02763	ENSP00000259396
83	P02765	ENSP00000393887
84	P02766	ENSP00000237014
85	Q7L266	ENSP00000301776
86	Q9UQ07	ENSP00000428942
87	Q9UQ05	ENSP00000264661
88	Q9UJ70	ENSP00000477639
89	Q2M218	ENSP00000393163
90	Q6DT37	ENSP00000345133
91	Q569K6	ENSP00000343087
92	Q15165	ENSP00000405211
93	Q15166	ENSP00000265627
94	Q9UJ78	ENSP00000337034
95	Q86WA9	ENSP00000459470
96	O15254	ENSP00000421625
97	Q86WA8	ENSP00000445426
98	P60153	ENSP00000481786
99	Q6ZTI6	ENSP00000374377
100	P46108	ENSP00000300574
101	O15258	ENSP00000464222
102	O15259	ENSP00000347452
103	P20813	ENSP00000324648
104	Q86XA0	ENSP00000482599
105	P29401	ENSP00000391481
106	P29400	ENSP00000354505
107	Q5VWT5	ENSP00000345972
108	Q86XA9	ENSP00000371903
109	P39023	ENSP00000346001
110	A6NEL2	ENSP00000334879
111	P29122	ENSP00000478081
112	H0YL14	ENSP00000452750
113	Q7RTW8	ENSP00000373609
114	Q9H9Z2	ENSP00000254231
115	Q08426	ENSP00000387746
116	Q01118	ENSP00000481734
117	P21731	ENSP00000393333
118	Q96CS2	ENSP00000282058
119	Q96CS3	ENSP00000261942
120	Q9P219	ENSP00000374507
121	Q9P218	ENSP00000414753
122	Q5W111	ENSP00000367437
123	Q96CS7	ENSP00000386666
124	Q8N6K0	ENSP00000283547
125	P62807	ENSP00000445633
126	Q9P217	ENSP00000352614
127	P62805	ENSP00000462355
128	Q9UK17	ENSP00000306923
129	Q9BVC3	ENSP00000322180
130	Q8N6K7	ENSP00000324874
131	Q92833	ENSP00000380478
132	Q92832	ENSP00000437170
133	Q92831	ENSP00000263754
134	Q92830	ENSP00000225916
135	Q92837	ENSP00000360060
136	Q9H3M9	ENSP00000369996
137	Q92835	ENSP00000405338
138	P00540	ENSP00000310722
139	Q969K7	ENSP00000328630
140	Q92839	ENSP00000222115
141	Q92838	ENSP00000340611
142	Q9H3M0	ENSP00000295082
143	Q969K3	ENSP00000376258
144	O60603	ENSP00000260010
145	Q8IY95	ENSP00000425335
146	Q9BZG1	ENSP00000404180
147	Q8TAL5	ENSP00000288462
148	Q8TAL6	ENSP00000321962
149	B4DJY2	ENSP00000403130
150	O43933	ENSP00000248633
151	Q5T481	ENSP00000358532
152	Q9BZG9	ENSP00000477648
153	Q9BZG8	ENSP00000458726
154	Q9Y597	ENSP00000259154
155	Q5TZA2	ENSP00000364691
156	Q9Y592	ENSP00000447783
157	P01236	ENSP00000302150
158	Q92598	ENSP00000369768
159	P01233	ENSP00000366493
160	P16402	ENSP00000244534
161	Q8N865	ENSP00000283905
162	Q09160	ENSP00000406366
163	Q2MKA7	ENSP00000383846
164	A6NCC3	ENSP00000423159
165	Q9H4Y5	ENSP00000390986
166	Q6NX49	ENSP00000269829
167	B3EWG3	ENSP00000342790
168	Q9UKZ9	ENSP00000295992
169	B3EWG6	ENSP00000342790
170	P53708	ENSP00000367316
171	P04035	ENSP00000340816
172	P60520	ENSP00000037243
173	Q9UKZ1	ENSP00000289382
174	Q6NX45	ENSP00000346348
175	Q9UKZ4	ENSP00000403954
176	Q8NFQ6	ENSP00000439123
177	Q8NFQ5	ENSP00000344929
178	Q9H967	ENSP00000263795
179	Q14563	ENSP00000415260
180	Q14562	ENSP00000262415
181	Q8WYB5	ENSP00000361796
182	Q86TG1	ENSP00000387292
183	Q14566	ENSP00000264156
184	Q8NFQ8	ENSP00000477486
185	Q9NWM3	ENSP00000353373
186	Q9BS40	ENSP00000264265
187	Q7Z5L4	ENSP00000435248
188	Q6P1A2	ENSP00000261407
189	Q7Z5L7	ENSP00000479233
190	Q9NRH2	ENSP00000296088
191	Q9NRH3	ENSP00000251412
192	P58397	ENSP00000344847
193	Q9UHF0	ENSP00000483110
194	Q86VP6	ENSP00000442318
195	Q9UHF5	ENSP00000261796
196	P41219	ENSP00000257860
197	Q9UHF7	ENSP00000428680
198	P41214	ENSP00000356081
199	Q86VP1	ENSP00000444811
200	Q96PG1	ENSP00000381954
201	P41217	ENSP00000312766
202	P41212	ENSP00000379658
203	Q86VY4	ENSP00000322802
204	Q92526	ENSP00000400917
205	Q92521	ENSP00000164305
206	Q92520	ENSP00000353025
207	Q92523	ENSP00000409342
208	Q9BVC4	ENSP00000455046
209	Q92597	ENSP00000437443
210	Q7L8L6	ENSP00000369618
211	Q9BQP7	ENSP00000366939
212	Q86VY9	ENSP00000438928
213	P35452	ENSP00000385586
214	Q9H4P4	ENSP00000484671
215	Q9UHH9	ENSP00000400812
216	P23352	ENSP00000262648
217	A0A087WXS9	ENSP00000481258
218	Q9Y5S8	ENSP00000217885
219	Q5T9C2	ENSP00000362176
220	Q53HV7	ENSP00000384828
221	Q5T9C9	ENSP00000300432
222	Q02878	ENSP00000403172
223	Q9HAP6	ENSP00000221459
224	P27449	ENSP00000481778
225	Q6PII3	ENSP00000373304
226	Q9HAP2	ENSP00000366236
227	Q96HA4	ENSP00000368623
228	Q96HA7	ENSP00000386239
229	Q96HA1	ENSP00000393020
230	Q5TGU0	ENSP00000419985
231	P86397	ENSP00000484277
232	P07205	ENSP00000305995
233	Q75V66	ENSP00000315371
234	Q96HA9	ENSP00000472216
235	Q96HA8	ENSP00000430427
236	Q6Q788	ENSP00000445002
237	O75164	ENSP00000361473
238	O75165	ENSP00000260818
239	O75167	ENSP00000356554
240	Q9H211	ENSP00000301019
241	O75161	ENSP00000481831
242	Q9H213	ENSP00000343706
243	Q96G23	ENSP00000271688
244	Q7L3V2	ENSP00000384924
245	Q14929	ENSP00000378792
246	P06865	ENSP00000268097
247	Q96G27	ENSP00000233615
248	Q96G25	ENSP00000361533
249	Q9BWU0	ENSP00000479964
250	Q13239	ENSP00000428559
251	Q9UKJ3	ENSP00000468719
252	Q9NSA2	ENSP00000218176
253	Q8TEH3	ENSP00000362720
254	Q5TGZ0	ENSP00000325562
255	P04118	ENSP00000259938
256	Q9C0H6	ENSP00000362206
257	Q5TBA9	ENSP00000445043
258	Q14671	ENSP00000362847
259	O60381	ENSP00000418738
260	Q8HWS3	ENSP00000332208
261	P19075	ENSP00000447160
262	O43242	ENSP00000264639
263	Q9NXR1	ENSP00000345892
264	Q96AH0	ENSP00000403683
265	Q8NGC7	ENSP00000319071
266	P10915	ENSP00000274341
267	P10914	ENSP00000384406
268	Q9H069	ENSP00000326870
269	P10916	ENSP00000228841
270	P10911	ENSP00000397055
271	Q6UW02	ENSP00000477866
272	Q6UW01	ENSP00000267406
273	P10912	ENSP00000442206
274	Q4AC99	ENSP00000368109
275	Q15768	ENSP00000226091
276	Q76NI1	ENSP00000357560
277	P40121	ENSP00000386965
278	P23743	ENSP00000377703
279	Q9H5I1	ENSP00000319208
280	O95528	ENSP00000352216
281	Q8WUF8	ENSP00000423841
282	Q5MY95	ENSP00000360561
283	Q8WUF5	ENSP00000403902
284	Q96BT3	ENSP00000400140
285	O95522	ENSP00000350358
286	O95521	ENSP00000332134
287	Q02297	ENSP00000433289
288	Q9UHC7	ENSP00000416369
289	O00244	ENSP00000316854
290	P48147	ENSP00000358106
291	P48146	ENSP00000484253
292	P48145	ENSP00000330284
293	Q3SYB3	ENSP00000484875
294	Q99519	ENSP00000401067
295	Q99518	ENSP00000209929
296	Q9BQG0	ENSP00000370968
297	Q9BQG1	ENSP00000438883
298	Q96RU7	ENSP00000217233
299	Q6PL24	ENSP00000216468
300	P23458	ENSP00000343204
301	Q96RU3	ENSP00000407548
302	Q96RU2	ENSP00000445743
303	Q4VC39	ENSP00000307951
304	Q6VMQ6	ENSP00000261168
305	Q9NYU1	ENSP00000365904
306	Q9NYU2	ENSP00000259253
307	Q96RU8	ENSP00000429063
308	Q96DR4	ENSP00000427639
309	Q96DR5	ENSP00000347012
310	A4D1P6	ENSP00000346466
311	Q96DR7	ENSP00000423295
312	Q96L58	ENSP00000368496
313	O94766	ENSP00000432474
314	P55145	ENSP00000432799
315	P50395	ENSP00000369528
316	Q96A84	ENSP00000335481
317	Q96DR8	ENSP00000311364
318	Q96L50	ENSP00000315628
319	P50391	ENSP00000363431
320	Q96SY0	ENSP00000408429
321	Q9Y5A6	ENSP00000292450
322	I1YAP6	ENSP00000474003
323	Q8NDW4	ENSP00000484191
324	P21675	ENSP00000406549
325	Q13643	ENSP00000362107
326	Q13642	ENSP00000377709
327	Q8NDW8	ENSP00000410882
328	Q9Y5A9	ENSP00000444660
329	P40306	ENSP00000351314
330	Q9NS40	ENSP00000333781
331	Q9HCE1	ENSP00000350028
332	Q6XQN6	ENSP00000480017
333	Q02127	ENSP00000219240
334	P21217	ENSP00000465804
335	Q6ZSJ9	ENSP00000387157
336	Q9UBM7	ENSP00000347717
337	Q5RIA9	ENSP00000366612
338	Q8NG75	ENSP00000459132
339	Q9UBM4	ENSP00000356191
340	Q9BQ15	ENSP00000368862
341	Q9UK39	ENSP00000280614
342	Q9BXJ8	ENSP00000473983
343	Q9BQ16	ENSP00000444789
344	Q5JVX7	ENSP00000481294
345	Q8NG76	ENSP00000324687
346	Q86XT9	ENSP00000279396
347	Q6ZRV2	ENSP00000478790
348	Q96KM6	ENSP00000393795
349	Q7L985	ENSP00000310126
350	Q92917	ENSP00000156109
351	Q96CN7	ENSP00000173527
352	Q96CN5	ENSP00000306760
353	Q96N76	ENSP00000373073
354	Q03188	ENSP00000426078
355	O15069	ENSP00000420477
356	O15068	ENSP00000364754
357	O94769	ENSP00000393971
358	A6NLE4	ENSP00000331214
359	Q8NGF7	ENSP00000349945
360	P10645	ENSP00000216492
361	O15062	ENSP00000307604
362	Q9H6R6	ENSP00000358412
363	Q9H6R7	ENSP00000385816
364	Q86WN2	ENSP00000418018
365	Q8NGF4	ENSP00000303111
366	P60891	ENSP00000361512
367	P48553	ENSP00000291574
368	P42681	ENSP00000264316
369	Q8NAP8	ENSP00000476499
370	Q86XT4	ENSP00000413875
371	P40426	ENSP00000387456
372	Q8TCD6	ENSP00000481857
373	P07093	ENSP00000415786
374	O15063	ENSP00000299505
375	Q9NZM6	ENSP00000290431
376	Q9NZM5	ENSP00000246802
377	Q8NAP1	ENSP00000479781
378	P07098	ENSP00000348101
379	P16422	ENSP00000263735
380	Q9NZM1	ENSP00000360543
381	Q9BXJ1	ENSP00000343230
382	Q01968	ENSP00000349635
383	Q14CS0	ENSP00000382507
384	A6NNZ2	ENSP00000309431
385	Q02978	ENSP00000440804
386	Q8NGF0	ENSP00000341581
387	P16189	ENSP00000408986
388	Q8N5G2	ENSP00000382668
389	Q96QT4	ENSP00000320239
390	Q12788	ENSP00000454836
391	P20393	ENSP00000246672
392	A8MZ59	ENSP00000380053
393	A1A5B4	ENSP00000332788
394	Q5VUM1	ENSP00000359505
395	Q03989	ENSP00000350078
396	Q96NH3	ENSP00000381270
397	Q06609	ENSP00000372088
398	Q2TBF2	ENSP00000447272
399	Q9BR01	ENSP00000388285
400	P16520	ENSP00000229264
401	Q8NCJ5	ENSP00000301463
402	Q9Y296	ENSP00000405033
403	Q9Y297	ENSP00000385339
404	Q9Y294	ENSP00000229595
405	Q9Y295	ENSP00000329715
406	Q7Z601	ENSP00000335158
407	Q9BR09	ENSP00000361596
